danceability_bin,energy_bin,valence_bin,acousticness_bin,tempo_bin,popularity
1,4,1,7,6,23.0
1,4,1,8,3,22.666666666666668
1,4,1,8,7,60.0
1,4,1,9,2,14.333333333333334
1,4,1,9,3,7.833333333333333
1,4,2,0,6,0.0
1,4,2,1,7,31.0
1,4,2,3,2,54.0
1,4,2,6,3,46.0
1,4,2,7,2,31.0
1,4,2,7,6,46.0
1,4,2,8,3,20.0
1,4,2,9,3,18.5
1,4,3,3,3,50.0
1,4,3,7,3,26.0
1,4,3,7,7,32.0
1,4,3,8,3,28.0
1,4,3,9,3,13.5
1,4,4,5,2,22.0
1,4,4,8,4,23.0
1,4,4,9,7,39.0
1,4,6,6,2,27.0
1,5,0,0,2,51.0
1,5,0,0,3,34.1
1,5,0,0,4,26.0
1,5,0,0,5,23.666666666666668
1,5,0,0,6,9.5
1,5,0,0,8,35.0
1,5,0,1,2,24.0
1,5,0,1,3,14.666666666666666
1,5,0,1,6,45.0
1,5,0,4,3,8.0
1,5,0,5,2,42.0
1,5,0,5,6,1.0
1,5,0,6,2,39.0
1,5,0,6,3,0.0
1,5,0,6,5,54.0
1,5,0,6,7,54.0
1,5,0,7,3,30.0
1,5,0,7,4,49.0
1,5,0,7,5,35.0
1,5,0,8,2,26.0
1,5,0,8,3,29.5
1,5,0,8,4,42.0
1,5,0,9,3,5.0
1,5,0,9,4,38.0
1,5,0,9,6,38.0
1,5,1,0,3,44.333333333333336
1,5,1,1,3,2.0
1,5,1,4,4,8.0
1,5,1,5,3,19.0
1,5,1,7,7,41.0
1,5,1,8,2,21.0
1,5,1,8,4,61.0
1,5,2,0,3,40.0
1,5,2,0,5,37.0
1,5,2,4,8,39.0
1,5,2,5,3,24.0
1,5,2,7,6,34.0
1,5,2,9,5,8.0
1,5,3,0,3,58.0
1,5,3,8,3,21.0
1,5,3,9,7,0.0
1,5,5,1,2,26.0
1,5,6,5,3,0.0
1,5,6,9,3,46.0
1,6,0,0,3,28.4
1,6,0,0,4,0.0
1,6,0,0,5,18.75
1,6,0,0,6,28.5
1,6,0,0,7,42.0
1,6,0,1,3,8.5
1,6,0,2,5,33.0
1,6,0,3,5,0.0
1,6,0,3,8,0.0
1,6,0,6,5,51.0
1,6,0,7,2,35.5
1,6,0,7,3,24.0
1,6,0,8,3,30.0
1,6,0,8,5,8.0
1,6,0,9,2,36.0
1,6,1,0,2,27.0
1,6,1,0,3,13.0
1,6,1,0,5,18.0
1,6,1,0,6,29.0
1,6,1,0,7,47.0
1,6,1,1,2,44.0
1,6,1,1,6,48.0
1,6,1,8,4,0.0
1,6,2,0,3,62.0
1,6,2,0,5,22.0
1,6,2,0,6,48.5
1,6,2,0,7,50.0
1,6,2,1,4,20.0
1,6,2,3,6,62.0
1,6,2,8,3,20.0
1,6,3,0,2,47.0
1,6,3,0,3,0.0
1,6,3,0,4,62.0
1,6,3,3,4,32.0
1,6,3,6,3,46.0
1,6,4,1,7,58.0
1,6,4,3,8,51.0
1,6,4,7,7,22.0
1,6,6,0,7,49.0
1,6,9,4,7,10.0
1,7,0,0,3,27.666666666666668
1,7,0,0,4,18.0
1,7,0,0,5,3.5
1,7,0,0,6,22.0
1,7,0,1,3,13.333333333333334
1,7,0,1,5,17.0
1,7,0,2,5,34.0
1,7,0,3,3,38.0
1,7,0,4,3,37.0
1,7,0,6,4,0.0
1,7,0,7,4,34.0
1,7,0,7,5,0.0
1,7,0,7,6,35.0
1,7,0,8,4,35.0
1,7,0,9,5,39.0
1,7,1,0,2,19.5
1,7,1,0,3,37.166666666666664
1,7,1,0,4,12.5
1,7,1,0,6,29.75
1,7,1,1,4,25.0
1,7,1,1,5,39.0
1,7,1,1,7,40.0
1,7,1,2,4,11.0
1,7,1,3,3,0.0
1,7,1,5,3,0.0
1,7,2,0,3,29.75
1,7,2,0,4,6.5
1,7,2,0,5,46.0
1,7,2,0,6,26.333333333333332
1,7,3,0,3,16.5
1,7,3,0,4,17.5
1,7,3,0,5,18.0
1,7,3,0,6,81.0
1,7,3,0,7,29.5
1,7,3,1,6,20.0
1,7,4,0,3,32.5
1,7,4,0,4,27.666666666666668
1,7,4,0,6,13.0
1,7,4,1,3,34.0
1,7,4,1,7,48.0
1,7,5,0,2,14.0
1,7,5,0,7,46.0
1,7,7,2,5,27.0
1,8,0,0,2,13.0
1,8,0,0,3,26.1
1,8,0,0,4,23.823529411764707
1,8,0,0,5,20.75
1,8,0,0,6,13.75
1,8,0,0,7,17.0
1,8,0,1,2,34.0
1,8,0,1,3,30.0
1,8,0,1,4,21.0
1,8,0,1,5,0.0
1,8,0,2,7,0.0
1,8,0,3,3,34.0
1,8,0,4,3,0.0
1,8,0,4,7,54.0
1,8,0,5,3,34.333333333333336
1,8,0,5,5,31.0
1,8,0,6,3,0.0
1,8,0,8,3,32.0
1,8,0,8,7,48.0
1,8,0,9,3,16.5
1,8,0,9,5,35.0
1,8,1,0,2,0.0
1,8,1,0,3,19.636363636363637
1,8,1,0,4,11.8
1,8,1,0,5,19.571428571428573
1,8,1,0,6,21.6
1,8,1,0,7,38.0
1,8,1,1,4,0.0
1,8,1,1,5,0.0
1,8,1,2,7,2.0
1,8,2,0,3,28.083333333333332
1,8,2,0,4,20.0
1,8,2,0,5,20.0
1,8,2,0,6,39.666666666666664
1,8,2,0,7,30.666666666666668
1,8,3,0,3,24.166666666666668
1,8,3,0,4,14.0
1,8,3,0,6,20.8
1,8,3,0,7,44.25
1,8,3,1,3,2.0
1,8,4,0,2,22.0
1,8,4,0,3,22.0
1,8,4,0,4,9.25
1,8,4,0,5,38.0
1,8,4,0,6,14.333333333333334
1,8,4,0,7,38.666666666666664
1,8,4,1,6,20.0
1,8,5,0,6,18.0
1,8,5,0,7,29.0
1,8,6,0,6,21.0
1,8,6,0,7,50.0
1,8,7,0,7,31.0
1,8,8,0,3,24.0
1,8,8,0,6,20.0
1,8,8,0,7,28.0
1,8,9,0,8,22.0
1,9,0,0,2,20.25
1,9,0,0,3,28.51219512195122
1,9,0,0,4,17.282608695652176
1,9,0,0,5,18.071428571428573
1,9,0,0,6,19.853658536585368
1,9,0,0,7,20.304347826086957
1,9,0,0,8,24.0
1,9,0,1,2,34.833333333333336
1,9,0,1,3,31.4
1,9,0,1,4,17.0
1,9,0,1,5,27.428571428571427
1,9,0,1,6,22.0
1,9,0,2,3,39.0
1,9,0,2,5,38.666666666666664
1,9,0,2,6,14.0
1,9,0,3,2,34.0
1,9,0,3,3,33.5
1,9,0,3,4,33.666666666666664
1,9,0,3,5,36.0
